Date,file,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,ROItotal,ROIcover
2018-06-05 13:20:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_132000.wav,13178.511996552976,3.897295054543346e-18,0.011009181329260077,0.001209565072695284,3.0855198908595223,73.4439484996304,-10.336921362080203,0.27884995531850265,0.3041963031918286,0.9933979447536924,0.020901877298238822,108,3.6110249371817,0.0019353590090961873,0.023219954648526078,0.08336509146341463,0.0019036455048364739,1.78690109915491e-05,3.0716939222766615,12.539737222800838,9,73.41564518313857,-19.584354816861435,-21.580217550151197,1.995862733289762,0.639775684314902,0.08396518795654662,0.7388474650863209,0.4621908153923333,0.19562697500012727,52.346836224033595,5.950088851292835,297.6869013904786,0.7950644645998804,8.759166442731209,5.686621936486281,49.810068038569796,54.84075658491202,63.31371575193845,2.040953164121179,0.15293593303440955,0.19282595603733813,0.1756971188132934,0.14189760177171665,0.15406889699477352,795.919921875,9.458859745629072,0.023477953808555944,0.057171180144524325,0.2970456384620039,0.8532440836426038,0.3330210256307978,3.486454670706277,4.977944285895045,4870.390726340353,0.9739505243694007,0.22243441255666957,1.3005732476329097,274,9.99734592770035
2018-06-05 13:36:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_133600.wav,13788.017280478954,-4.335885518280879e-18,0.005686598515475744,5.547306137663883e-05,3.0869678896433514,70.59007625279455,-13.281905351682,0.24478883935242912,0.21672286456716655,0.9931605898120961,0.022256628604606154,115,3.606536592107306,0.0023224308109154245,0.023219954648526078,0.10003810975609756,0.0013752983246910432,9.20366577719075e-06,3.067424368792789,12.133549822826335,10,70.54401622565581,-22.455983774344173,-24.099937497434347,1.6439537230901742,0.6379332115957347,0.03147453172134651,0.3993717687197095,0.21040866135165626,0.23905447671513302,162.51038611338745,11.771197948017475,297.390211445682,0.988019164562953,165.93326692524508,0.17169263897511267,28.489520492157105,46.99156673892546,36.1064496917005,2.075349685401099,0.05041014092978369,0.15522970705897532,0.17711198728528638,0.14177410335291268,0.1515324053910182,782.81640625,8.066573260619274,0.022263961478900505,0.05493635609069593,0.3177280924557947,0.9112866909985917,0.3330492709514955,3.533852200448423,4.96676467978715,5164.667341062612,0.9745499406997057,0.09945591042543266,1.2714983114020795,318,12.364082764711576
2018-06-05 13:52:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_135200.wav,13857.306898584906,-2.977816080048818e-18,0.008116443780913507,-0.0003414960473867615,3.146089963860101,72.0984029764614,-11.780566611018113,0.28947711576943647,0.2576153100027113,0.9922320280791643,0.02922392103735243,151,3.595035532502808,0.0052254693245597054,0.026122448979591838,0.20007621951219512,0.001663943515846195,1.308391104306955e-05,3.0317500541445277,11.99645877753868,8,72.09370984777438,-20.906290152225612,-22.64606814699659,1.7397779947709786,0.6424283862322658,0.03433435739582946,0.5691075519709853,0.23750036631188676,0.23230877370507452,102.9841069825654,9.276139605585398,295.34795843185896,0.9890128487054696,181.030805473264,0.22480869968145412,40.69729998073075,54.92003789561452,51.182391575353506,2.0742418787521997,0.05642742988064531,0.14584139889017939,0.1849809992460827,0.14619576303289913,0.1559040632259001,805.400390625,8.012336143270876,0.023691565040650404,0.0568910509647368,0.3317986753303107,0.9184790742692636,0.33305443617816527,3.5430275874505184,4.994991664683506,5293.877652556069,0.9749138925498094,0.1004064753884021,1.270764972085948,300,5.813401325977545
2018-06-05 14:08:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_140800.wav,13781.583363570391,-5.721985805132981e-18,0.009115168241147872,-0.00014803391422496924,3.0546288466681033,72.61033887110881,-11.263167400805385,0.25753841571589575,0.2734271463704213,0.9937030016347557,0.017998838784594542,93,3.606654489283798,0.0019353590090961873,0.023219954648526078,0.08336509146341463,0.0016882289820251497,1.4931308461749836e-05,3.176567522100071,13.143423372064936,9,72.59236536897852,-20.40763463102148,-22.087385633991993,1.6797510029705123,0.6303094891954737,0.2338323070735947,0.887374686753411,0.4917660535282863,0.34268976051117983,266.8218156579846,15.334202976619226,295.98478540628,0.9600626616070246,49.07844990370654,0.9314010657909448,45.71172054767977,55.83393035430327,57.179187723432385,2.0629245867985757,0.10094700592980521,0.14072783584978707,0.1698377040161379,0.13891768205956506,0.1470469475900116,759.64453125,10.393043176153752,0.016814795659117306,0.05365334698469127,0.230275511395435,0.9271643471763235,0.3329981722285423,3.45114347162357,4.918242425043375,4534.832524145825,0.9726766120462347,0.11325182179976089,1.263054747310869,248,11.70067811169183
2018-06-05 14:24:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_142400.wav,13802.801954825834,2.05145528044398e-18,0.00646516117678699,0.0003972134883569457,3.091415553847624,71.13873191000495,-12.802897408306395,0.3127002878599079,0.22901036006907188,0.9933729576669829,0.025159667118250434,130,3.5755798922516417,0.00154828720727695,0.023219954648526078,0.06669207317073171,0.0014780855187831994,1.0428648533615109e-05,3.0730982486045506,12.293290611261817,9,71.10101624452537,-21.89898375547463,-23.5780515347001,1.6790677792254698,0.6395575660657682,0.04801895885874374,0.6364255553288368,0.27552800885210416,0.2822509451397289,108.71667841384397,9.827274552613542,296.1731035395667,0.9808816491425085,103.6115334375866,0.31256627755543676,32.38547131839711,47.911798360757075,41.05318297365259,2.0752861634462967,0.051172975952930244,0.14364756742805523,0.17933680746581904,0.14231597001069857,0.15180650829945797,784.232421875,8.212617906581563,0.020762255613627562,0.055372784463618624,0.28066252923542623,0.90536761852989,0.33304217160309174,3.521509691241905,4.976811806378666,5283.601581729373,0.974385002937913,0.10440145444384206,1.266758253323141,292,8.153370596205962
2018-06-05 14:40:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_144000.wav,13822.203714622641,6.205392056783992e-19,0.012478395327762003,0.0001077977789376323,3.0435294545937874,73.984002773401,-9.85930935484922,0.23719266961298757,0.3213916078072905,0.9940915365471633,0.017998838784594542,93,3.4784858402551393,0.000774143603638475,0.023219954648526078,0.033346036585365856,0.002044874892556433,2.020324544916069e-05,3.0985484076986713,12.793186775602974,9,73.96388424694902,-19.036115753050975,-20.746839862948676,1.7107241098977006,0.6395337063068305,0.126149684604552,0.5759078500141668,0.4285516863860147,0.2143432324410619,130.79297006835841,10.357595669656757,300.288361505791,0.974801864714332,78.37095254574449,0.8018977838600468,62.845493165433396,52.62333075738058,79.52034374264684,2.046738275007899,0.13975524498482716,0.1556598700907644,0.18113118161256803,0.1378367239893597,0.151085523132017,780.5078125,11.641868730399885,0.02215583260743322,0.0605938743137681,0.28502701559002147,0.9341819514643112,0.3330083551707708,3.4665701406696385,4.976259934079235,5097.492714658171,0.9736141240261595,0.10879351858755638,1.329710618844575,420,7.084255831397599
2018-06-05 14:56:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_145600.wav,13760.831481313497,-1.6158861057792668e-18,0.007405795629196292,-0.00030839875166429595,3.0404559619653666,71.71390713077331,-12.181055510907585,0.2488813014721032,0.2460068637989083,0.9942899424172177,0.016063479775498355,83,3.483989079339513,0.0,0.0,0.0,0.0015560752657864632,1.2047411181141949e-05,3.1756252217640335,13.191781062370346,12,71.69701916594553,-21.302980834054456,-22.91275771355583,1.609776879501375,0.6329200215728318,0.03017346492959383,0.4512082577967743,0.23970683817992544,0.2335788705499331,71.92779967832026,7.334001200784191,296.25498792310134,0.9848321478097286,130.85782501775537,0.2844786198408925,37.22625345643206,55.58778233999997,47.14242538900949,2.0706131771086036,0.07221520770204792,0.14374435411020775,0.17222298632760763,0.13648795474129854,0.14660989522841655,757.38671875,7.809270556902215,0.01865979178765002,0.05387577101908146,0.2604034955596185,0.9242210982189225,0.33299582670942784,3.4476565663947554,4.934582132788175,4996.5186705224305,0.9727879122226043,0.10076971108359872,1.2589465598095968,449,6.654386856368563
2018-06-05 15:12:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_151200.wav,13666.456254535558,-3.416070845000482e-18,0.007721774039443682,-0.00043940574522033154,3.04541184166043,71.90859712463009,-11.937715854963455,0.25867738898081605,0.25299632182488074,0.993958658610878,0.018772982388233016,97,3.4776731607200766,0.0032901103154635183,0.024671201814058956,0.13338414634146342,0.0015999843865083427,1.2527763435099982e-05,3.158460141930699,13.143753591253512,8,71.87893388845431,-21.12106611154568,-22.82666989614683,1.7056037846011485,0.6355988894750353,0.043436664695481686,0.5295568532195499,0.31808487545585973,0.31702896241174117,101.37984799876355,9.38001088602271,295.7473533692305,0.9612041175153565,50.55186251509167,0.7661047347631144,38.72802122390573,58.44907940240655,48.36536291754185,2.0627345112542708,0.09917555548585644,0.14399169785348642,0.17328636632230984,0.14289807772629698,0.1504949731416957,777.45703125,8.229650681138752,0.020135410617499034,0.05372568362827802,0.2851247279710945,0.9232404685458263,0.3329973417842851,3.4499061306457155,4.9513770788245015,5028.970892355609,0.9729530276453683,0.11046215667309954,1.2669286580952779,516,5.324666388404956
2018-06-05 15:28:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_152800.wav,13714.37726777939,2.0457484010842115e-18,0.007933836737937046,0.00012052495163729272,3.0440512429388646,72.02330587524757,-11.977414901258106,0.2577241532379926,0.2518426351519558,0.9936127423753409,0.0216760209018773,112,3.618657718514562,0.0023224308109154245,0.023219954648526078,0.10003810975609756,0.0015812985058872959,1.2978338233411809e-05,3.2040080439019896,13.304377813912927,10,71.99008461803328,-21.009915381966717,-22.659339269240114,1.6494238872733966,0.6287997507345677,0.017086660012699983,0.3573933757221093,0.2539322288066349,0.1476381398583677,80.92261091527956,7.863532876859649,296.0923264647538,0.9923600550877058,260.7819922734706,0.1528498289748188,39.860482918712506,53.95925161716551,50.63092974691789,2.0660340747769452,0.0881514114914892,0.14714801909923858,0.17155439411536974,0.13987444789962494,0.1484692581300813,766.9921875,7.528600230687773,0.019493064629307003,0.05417598260096592,0.2746369324025895,0.9290799464036708,0.3329908856875237,3.440389741113988,4.908692379175155,4660.417900989499,0.9724206227485919,0.09344303634009904,1.256546588899768,339,5.038087071718931
2018-06-05 15:44:00,/media/andrescastro/Seagate Backup Plus Drive/Jaguas_2018/G28_m/G28_20180605_154400.wav,13615.885000907112,2.0108357273538605e-19,0.009615482153436545,-9.470641257309048e-05,3.0504975843965494,72.85611212854728,-11.09176267703653,0.2612148639272789,0.27887646590215776,0.993946341733236,0.019740661892781113,102,3.599031100703165,0.0011612154054577123,0.023219954648526078,0.05001905487804878,0.001704111682776982,1.587156883917826e-05,3.270149577294816,13.778027391357293,12,72.8286298656184,-20.171370134381604,-21.801433855593494,1.63006372121189,0.6228068167238753,0.10322966660241528,0.8141627216667804,0.422580994810571,0.25768615601695155,258.6994555670179,14.667315128528735,298.62389552932086,0.9881799618170556,168.20419114092837,0.287704307218689,48.393070283480746,67.61025003958827,61.95452642180987,2.054002448451357,0.1199963626552738,0.15876779799544025,0.16285123377549562,0.13160491051915127,0.14239249116821523,735.599609375,8.975756071957143,0.012851078566589236,0.052904625037427454,0.17734797164754507,0.9413515870730236,0.3329675477017741,3.4074254068050176,4.870801781377196,4287.349168110061,0.971435207266603,0.08938922993173168,1.2643877331108362,363,4.267007234804491
