,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
15068,G47_20180626_040000,G47,2018/06/26,04:00:00,G47_20180626_040000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15069,G47_20180626_041600,G47,2018/06/26,04:16:00,G47_20180626_041600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15070,G47_20180626_043200,G47,2018/06/26,04:32:00,G47_20180626_043200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15071,G47_20180626_044800,G47,2018/06/26,04:48:00,G47_20180626_044800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15072,G47_20180626_080000,G47,2018/06/26,08:00:00,G47_20180626_080000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15073,G47_20180626_081600,G47,2018/06/26,08:16:00,G47_20180626_081600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15074,G47_20180626_083200,G47,2018/06/26,08:32:00,G47_20180626_083200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15075,G47_20180626_084800,G47,2018/06/26,08:48:00,G47_20180626_084800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15076,G47_20180626_090400,G47,2018/06/26,09:04:00,G47_20180626_090400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15077,G47_20180626_092000,G47,2018/06/26,09:20:00,G47_20180626_092000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15078,G47_20180626_093600,G47,2018/06/26,09:36:00,G47_20180626_093600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15079,G47_20180626_095200,G47,2018/06/26,09:52:00,G47_20180626_095200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15080,G47_20180626_100800,G47,2018/06/26,10:08:00,G47_20180626_100800.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15081,G47_20180626_102400,G47,2018/06/26,10:24:00,G47_20180626_102400.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15082,G47_20180626_104000,G47,2018/06/26,10:40:00,G47_20180626_104000.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15083,G47_20180626_105600,G47,2018/06/26,10:56:00,G47_20180626_105600.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
15084,G47_20180626_111200,G47,2018/06/26,11:12:00,G47_20180626_111200.wav,San Rafael,Area proteccion embalse EPM,6.3523,-74.9852,1028,Forest,0,0,No_rain
