,Recording,Recorder,Date,Time,Filename,Municipio,Vereda,Latitud,Longitud,Elevacion,Habitat,Rain_occurrence,Rain_Intesity,Intensity_Category
4047,G13_20180528_164800,G13,2018/05/28,16:48:00,G13_20180528_164800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4048,G13_20180528_200000,G13,2018/05/28,20:00:00,G13_20180528_200000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4049,G13_20180528_201600,G13,2018/05/28,20:16:00,G13_20180528_201600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4050,G13_20180528_203200,G13,2018/05/28,20:32:00,G13_20180528_203200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4051,G13_20180528_204800,G13,2018/05/28,20:48:00,G13_20180528_204800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4052,G13_20180528_210400,G13,2018/05/28,21:04:00,G13_20180528_210400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4053,G13_20180528_212000,G13,2018/05/28,21:20:00,G13_20180528_212000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4054,G13_20180528_213600,G13,2018/05/28,21:36:00,G13_20180528_213600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4055,G13_20180528_215200,G13,2018/05/28,21:52:00,G13_20180528_215200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4056,G13_20180528_220800,G13,2018/05/28,22:08:00,G13_20180528_220800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4057,G13_20180528_222400,G13,2018/05/28,22:24:00,G13_20180528_222400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4058,G13_20180528_224000,G13,2018/05/28,22:40:00,G13_20180528_224000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4059,G13_20180528_225600,G13,2018/05/28,22:56:00,G13_20180528_225600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4060,G13_20180528_231200,G13,2018/05/28,23:12:00,G13_20180528_231200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,1,2,Moderate
4061,G13_20180528_232800,G13,2018/05/28,23:28:00,G13_20180528_232800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,1,3,Heavy
4062,G13_20180528_234400,G13,2018/05/28,23:44:00,G13_20180528_234400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,1,1,Light
4063,G13_20180529_000000,G13,2018/05/29,00:00:00,G13_20180529_000000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,1,1,Light
4064,G13_20180529_001600,G13,2018/05/29,00:16:00,G13_20180529_001600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,1,1,Light
4065,G13_20180529_003200,G13,2018/05/29,00:32:00,G13_20180529_003200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,1,1,Light
4066,G13_20180529_004800,G13,2018/05/29,00:48:00,G13_20180529_004800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4067,G13_20180529_010400,G13,2018/05/29,01:04:00,G13_20180529_010400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4068,G13_20180529_012000,G13,2018/05/29,01:20:00,G13_20180529_012000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4069,G13_20180529_013600,G13,2018/05/29,01:36:00,G13_20180529_013600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4070,G13_20180529_015200,G13,2018/05/29,01:52:00,G13_20180529_015200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4071,G13_20180529_020800,G13,2018/05/29,02:08:00,G13_20180529_020800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4072,G13_20180529_022400,G13,2018/05/29,02:24:00,G13_20180529_022400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4073,G13_20180529_024000,G13,2018/05/29,02:40:00,G13_20180529_024000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4074,G13_20180529_025600,G13,2018/05/29,02:56:00,G13_20180529_025600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4075,G13_20180529_031200,G13,2018/05/29,03:12:00,G13_20180529_031200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4076,G13_20180529_032800,G13,2018/05/29,03:28:00,G13_20180529_032800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4077,G13_20180529_034400,G13,2018/05/29,03:44:00,G13_20180529_034400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4078,G13_20180529_040000,G13,2018/05/29,04:00:00,G13_20180529_040000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4079,G13_20180529_041600,G13,2018/05/29,04:16:00,G13_20180529_041600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4080,G13_20180529_043200,G13,2018/05/29,04:32:00,G13_20180529_043200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4081,G13_20180529_044800,G13,2018/05/29,04:48:00,G13_20180529_044800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4082,G13_20180529_080000,G13,2018/05/29,08:00:00,G13_20180529_080000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4083,G13_20180529_081600,G13,2018/05/29,08:16:00,G13_20180529_081600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4084,G13_20180529_083200,G13,2018/05/29,08:32:00,G13_20180529_083200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4085,G13_20180529_084800,G13,2018/05/29,08:48:00,G13_20180529_084800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4086,G13_20180529_090400,G13,2018/05/29,09:04:00,G13_20180529_090400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4087,G13_20180529_092000,G13,2018/05/29,09:20:00,G13_20180529_092000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4088,G13_20180529_093600,G13,2018/05/29,09:36:00,G13_20180529_093600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4089,G13_20180529_095200,G13,2018/05/29,09:52:00,G13_20180529_095200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4090,G13_20180529_100800,G13,2018/05/29,10:08:00,G13_20180529_100800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4091,G13_20180529_102400,G13,2018/05/29,10:24:00,G13_20180529_102400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4092,G13_20180529_104000,G13,2018/05/29,10:40:00,G13_20180529_104000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4093,G13_20180529_105600,G13,2018/05/29,10:56:00,G13_20180529_105600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4094,G13_20180529_111200,G13,2018/05/29,11:12:00,G13_20180529_111200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4095,G13_20180529_112800,G13,2018/05/29,11:28:00,G13_20180529_112800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4096,G13_20180529_114400,G13,2018/05/29,11:44:00,G13_20180529_114400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4097,G13_20180529_120000,G13,2018/05/29,12:00:00,G13_20180529_120000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4098,G13_20180529_121600,G13,2018/05/29,12:16:00,G13_20180529_121600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4099,G13_20180529_123200,G13,2018/05/29,12:32:00,G13_20180529_123200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4100,G13_20180529_124800,G13,2018/05/29,12:48:00,G13_20180529_124800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4101,G13_20180529_130400,G13,2018/05/29,13:04:00,G13_20180529_130400.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4102,G13_20180529_132000,G13,2018/05/29,13:20:00,G13_20180529_132000.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4103,G13_20180529_133600,G13,2018/05/29,13:36:00,G13_20180529_133600.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4104,G13_20180529_135200,G13,2018/05/29,13:52:00,G13_20180529_135200.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
4105,G13_20180529_140800,G13,2018/05/29,14:08:00,G13_20180529_140800.wav,Alejandria,El Respaldo,6.3968,-75.0186,1349,Forest,0,0,No_rain
